month,regional_team,chemical,bnf_name,items,quantity,total_list_size,rate
2020-04-01,Y56,Atorvastatin,Lipitor 10mg tablets,388,18088.0,10298573,3.7675122563096846e-05
2020-04-01,Y63,Atorvastatin,Atorvastatin 20mg/5ml oral solution,6,1500.0,8941089,6.710591964804287e-07
2020-04-01,Y56,Atorvastatin,Atorvastatin 10mg chewable tablets sugar free,43,1302.0,10298573,4.1753357479720735e-06
2020-04-01,Y62,Atorvastatin,Atorvastatin 20mg/5ml oral solution,5,840.0,7586757,6.590431194777953e-07
2020-04-01,Y62,Atorvastatin,Atorvastatin 10mg/5ml oral liquid,4,1100.0,7586757,5.272344955822363e-07
2020-04-01,Y62,Atorvastatin,Atorvastatin 20mg/5ml oral suspension,17,4290.0,7586757,2.2407466062245043e-06
2020-04-01,Y60,Atorvastatin,Lipitor 10mg tablets,657,22942.0,11355951,5.785512811740734e-05
2020-04-01,Y56,Atorvastatin,Atorvastatin 80mg tablets,68858,1697294.0,10298573,0.006686169044973512
2020-04-01,Y62,Atorvastatin,Atorvastatin 20mg chewable tablets sugar free,146,5624.0,7586757,1.9244059088751623e-05
2020-04-01,Y61,Atorvastatin,Lipitor 10mg tablets,559,17990.0,6965534,8.025228216530133e-05
2020-04-01,Y60,Atorvastatin,Atorvastatin 30mg tablets,132,4340.0,11355951,1.1623861356922022e-05
2020-04-01,Y59,Atorvastatin,Lipitor 40mg tablets,507,17248.0,9423436,5.380203144585478e-05
2020-04-01,Y59,Atorvastatin,Atorvastatin 10mg tablets,78548,2915792.0,9423436,0.008335388493114401
2020-04-01,Y63,Atorvastatin,Atorvastatin 60mg tablets,399,10277.0,8941089,4.462543656594851e-05
2020-04-01,Y56,Atorvastatin,Atorvastatin 20mg chewable tablets sugar free,97,3341.0,10298573,9.418780640774211e-06
2020-04-01,Y58,Atorvastatin,Atorvastatin 60mg tablets,114,4225.0,5886551,1.936617893907655e-05
2020-04-01,Y62,Atorvastatin,Atorvastatin 10mg tablets,72162,2382962.0,7586757,0.009511573917551332
2020-04-01,Y56,Atorvastatin,Atorvastatin 60mg tablets,173,5898.0,10298573,1.679844382323648e-05
2020-04-01,Y63,Atorvastatin,Atorvastatin 20mg chewable tablets sugar free,326,11227.0,8941089,3.646088300876996e-05
2020-04-01,Y60,Atorvastatin,Lipitor 10mg chewable tablets,15,387.0,11355951,1.3208933360138662e-06
